id,price,moonRank,solanartURL
3701,0.5,734,https://solanart.io/search/?token=5jsYr2SB1FC1AzZb61acvCrmfwWaJRpEsfuqFQUDscig
3397,0.39,1045,https://solanart.io/search/?token=EC8GsmtWvMcnRksfyGiCdrFQLqqM3n2zj5SDzkSsU7xQ
3015,0.4,1109,https://solanart.io/search/?token=4QBgTzK9aWq1bAw6TzdqqKaaY63wJoWcHLNDTFymHA68
4389,0.76,549,https://solanart.io/search/?token=HQbKQfRgoFAMZoGThPJq2hzNqnCXw8dBF46PZUewJqar
4137,0.95,599,https://solanart.io/search/?token=EZwSkiSJ8E6V9L5CeH3MXdkGnMZK1mtw9eK7ojMsKwfp
1918,1,623,https://solanart.io/search/?token=H9tJjRQgiobHxdhVNRxNvqdfz7HV6r94W17LsJoqBgnm
4230,1.5,206,https://solanart.io/search/?token=986qTRERiuuWpYYR3XV6UH64onVdzy48h6HaQxVXKKXW
130,1.2,218,https://solanart.io/search/?token=G4HKmtr8nbjRrRCXC6arqJiaPqL3KY83VcCKU8A258kB
2753,1.1,332,https://solanart.io/search/?token=5pvrK5Nosubfksgbm8WFPEFGAQgpuAUrFNCzpXoFKDB2
278,1.99,22,https://solanart.io/search/?token=3SqSZatfvo63LNHymCDYixPb63sk32kFnt6dwprC91p7
3070,1.9,277,https://solanart.io/search/?token=BZ3mRje937QR341aB7sB8LPwtNS8YpwfW9iqFmqpCC3e
3645,1.6,373,https://solanart.io/search/?token=Gr5ssgdehiQF6cNLwQxcWNHZyCZ7CZuGZ8Nwk7vkKX49
